Brand Name,Model_Name,Model_Year,Emi Per Month,Down Payment,KMs Travelled,Owners,Fule Type,RTO Number,Location,Engine Displacement,Transmission Type,Original Price,Actual Price
Toyota,Etios Liva,2011,"5,181",Zero,"35,131",2,Petrol,DL-10,Noida,,Manual,"2,87,000","2,65,000"
Hyundai,Tucson New,2018,"26,667",Zero,"42,864",1,Petrol,HR-26,Noida,2.0,Manual,"17,55,000","14,01,000"
Skoda,Rapid,2016,"9,228",Zero,"66,054",1,Petrol,DL-7C,Noida,1.6,Manual,"4,72,000","4,72,000"
Hyundai,Verna,2014,"7,937",Zero,"94,348",3,Petrol,HR-26,Delhi,,Manual,"4,21,000","4,06,000"
Tata,TIGOR,2018,"10,127",Zero,"57,116",1,Petrol,UP-16,Ghaziabad,,Manual,"5,32,000","5,18,000"
Honda,Amaze,2020,"12,102",Zero,"15,072",2,Petrol,HR-26,Gurugram,1.2,Manual,"7,02,000","6,19,000"
Honda,Brio,2016,"5,982",Zero,"59,609",1,Petrol,DL-10,Noida,,Manual,"3,21,000","3,06,000"
Skoda,Rapid,2021,"20,271",Zero,"43,210",2,Petrol,DL-10,Delhi,,Manual,"11,19,000","10,65,000"
Maruti,Swift,2016,"8,465",Zero,"40,368",1,Petrol,HR-26,Faridabad,,Manual,"4,77,000","4,33,000"
Hyundai,VENUE,2020,"18,691",Zero,"57,163",1,Petrol,UP-14,Noida,,Automatic,"10,21,000","9,82,000"
Skoda,Rapid,2018,"14,839",Zero,"59,030",2,Diesel,DL-1C,Gurugram,,Automatic,"8,37,000","7,59,000"
Hyundai,Elite i20,2018,"10,303",Zero,"40,826",2,Petrol,DL-4C,Delhi,,Manual,"5,66,000","5,27,000"
Honda,City,2016,"13,411",Zero,"1,06,280",2,CNG,DL-2C,Noida,1.5,Automatic,"7,20,000","6,86,000"
Volkswagen,Polo,2015,"7,234",Zero,"84,265",2,Petrol,HR-51,Faridabad,,Manual,"4,11,000","3,70,000"
Toyota,Corolla Altis,2015,"16,046",Zero,"60,408",2,Petrol,DL-8C,Noida,,Automatic,"9,83,000","8,43,000"
Toyota,Corolla Altis,2012,"9,032",Zero,"63,140",1,Petrol,DL-3C,Gurugram,,Automatic,"4,96,000","4,62,000"
Renault,Kwid,2017,"4,790",Zero,"67,522",3,Petrol,DL-8C,Delhi,,Automatic,"2,59,000","2,45,000"
Datsun,Redi Go,2020,"7,273",Zero,"22,551",1,Petrol,UP-14,Noida,,Automatic,"4,13,000","3,72,000"
Toyota,Corolla Altis,2018,"18,920",Zero,"1,01,720",1,Diesel,HR-26,Noida,,Manual,"11,53,000","9,94,000"
Hyundai,Creta,2017,"20,842",Zero,"16,820",1,Petrol,HR-26,Chhatarpur,,Automatic,"11,22,000","10,95,000"
Skoda,Rapid,2013,"7,214",Zero,"96,727",3,Petrol,TN-01,Chennai,,Manual,"3,95,000","3,69,000"
Maruti,A Star,2010,"3,656",Zero,"92,648",3,Petrol,TN-10,Navalur,,Manual,"1,96,000","1,87,000"
