Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Apartment,1.18,2037,5793,Under Construction,Krishnarajapura,Bangalore
2 BHK,Apartment,0.693,1234,5614,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.576,1240,4642,Under Construction,Electronic City Phase 1,Bangalore
2 BHK,Apartment,0.433,1110,3900,Ready to move,Sarjapur,Bangalore
4 BHK,Apartment,11.666,5180,22522,Ready to move,Frazer Town,Bangalore
Residential Plot,Residential,0.323,2000,1615,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,0.33,1500,2200,New,Anekal City,Bangalore
3 BHK,Apartment,1.335,1641,8133,Under Construction,RR Nagar,Bangalore
2 BHK,Apartment,0.554,957,5787,Ready to move,Begur,Bangalore
Residential Plot,Residential,0.6,1500,3999,New,Devanahalli,Bangalore
3 BHK,Apartment,0.894,2079,4298,Ready to move,Hoskote,Bangalore
4 BHK,Apartment,3.165,2470,12815,Under Construction,Whitefield Hope Farm Junction,Bangalore
Residential Plot,Residential,0.36,1500,2400,New,Bidadi,Bangalore
4 BHK,Apartment,3.41,3067,11118,Ready to move,Hebbal,Bangalore
2 BHK,Apartment,0.525,1072,4894,Under Construction,Devanahalli,Bangalore
3 BHK,Apartment,1.336,1769,7553,Under Construction,Hebbal,Bangalore
Residential Plot,Residential,0.374,1500,2490,New,Anekal City,Bangalore
2 BHK,Apartment,0.558,1240,4500,Under Construction,Volagerekallahalli,Bangalore
3 BHK,Apartment,0.507,1206,4200,Under Construction,Chandapura,Bangalore
3 BHK,Apartment,0.918,1405,6536,Ready to move,Kasavanahalli,Bangalore
3 BHK,Apartment,1.559,1679,9287,Under Construction,Krishnarajapura,Bangalore
4 BHK,Villa,2.23,3054,7301,Under Construction,Sarjapur,Bangalore
3 BHK,Apartment,1.416,1708,8291,Ready to move,Gunjur,Bangalore
3 BHK,Apartment,1.429,1604,8907,Under Construction,Krishnarajapura,Bangalore
3 BHK,Apartment,0.738,1440,5124,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,1.336,1605,8321,Under Construction,Jalahalli,Bangalore
Residential Plot,Residential,0.378,1800,2100,New,Jigani,Bangalore
4 BHK,Villa,4.036,4815,8383,Under Construction,Sarjapur,Bangalore
